"stimulus","number_responses_all_trials","number_responses_correct_only","avg_words_per_response_all_trials","avg_words_per_response_correct_only","percent_unique_words_all_trials","percent_unique_words_correct_only","percent_unique_lemmas_all_trials","percent_unique_lemmas_correct_only","simpson_diversity_all_trials","simpson_diversity_correct_only","modal_agreement_all_trials","modal_agreement_correct_only","modal_names_all_trials","modal_names_correct_only","modal_response_agreement_all_trials","modal_response_agreement_correct_only","modal_response_all_trials","modal_response_correct_only"
"imgNew/10T_security.jpg",296,275,1.01351351351351,1.01090909090909,0.14,0.111510791366906,0.13,0.10431654676259,0.314158305462653,0.354959353816586,0.543918918918919,0.578181818181818,"security","security",0.540540540540541,0.574545454545455,"security","security"
"imgNew/11T_slow.jpg",288,252,1.125,1.08730158730159,0.194444444444444,0.109489051094891,0.188271604938272,0.102189781021898,0.508924817490349,0.704927675730595,0.802083333333333,0.912698412698413,"slow","slow",0.784722222222222,0.892857142857143,"slow","slow"
"imgNew/12T_think.jpg",292,286,1.10958904109589,1.10839160839161,0.135802469135802,0.116719242902208,0.126543209876543,0.107255520504732,0.47037801475366,0.491414766601446,0.753424657534247,0.769230769230769,"think","think",0.373287671232877,0.381118881118881,"thinking","thinking"
"imgNew/13T_leather.jpg",287,213,1.10104529616725,1.04694835680751,0.224683544303797,0.0852017937219731,0.215189873417722,0.0852017937219731,0.418565400843882,0.795984325132307,0.710801393728223,0.934272300469484,"leather","leather",0.700348432055749,0.92018779342723,"leather","leather"
"imgNew/14T_cube.jpg",291,242,1.03780068728522,1.03719008264463,0.172185430463576,0.131474103585657,0.149006622516556,0.119521912350598,0.325207366174562,0.457243027888446,0.573883161512027,0.690082644628099,"cube","cube",0.549828178694158,0.661157024793388,"cube","cube"
"imgNew/15T_alcohol.jpg",294,258,1.01700680272109,1.01937984496124,0.1438127090301,0.106463878326996,0.137123745819398,0.102661596958175,0.474153217660659,0.605114213566308,0.697278911564626,0.790697674418605,"alcohol","alcohol",0.697278911564626,0.790697674418605,"alcohol","alcohol"
"imgNew/16T_wax.jpg",297,259,1.03703703703704,1.03088803088803,0.172077922077922,0.0936329588014981,0.159090909090909,0.0823970037453183,0.50541478065908,0.672270564050576,0.734006734006734,0.841698841698842,"wax","wax",0.727272727272727,0.833976833976834,"wax","wax"
"imgNew/17T_small.jpg",293,241,1.04778156996587,1.03734439834025,0.221498371335505,0.14,0.205211726384365,0.132,0.281684443592855,0.421558232931727,0.542662116040956,0.659751037344398,"small","small",0.535836177474403,0.651452282157676,"small","small"
"imgNew/19T_farm.jpg",288,271,1.09027777777778,1.09225092250923,0.165605095541401,0.131756756756757,0.152866242038217,0.118243243243243,0.599112757168149,0.67418689876317,0.84375,0.896678966789668,"farm","farm",0.777777777777778,0.826568265682657,"farm","farm"
"imgNew/1T_dog.jpg",298,278,1.02013422818792,1.01438848920863,0.101973684210526,0.0602836879432624,0.0921052631578947,0.0531914893617021,0.674222685426437,0.770702405290124,0.835570469798658,0.888489208633094,"dog","dog",0.711409395973154,0.758992805755396,"dog","dog"
