trials,stimulus,number_responses,avg_words_per_response,percent_unique_words,percent_unique_lemmas,simpson_diversity,modal_agreement,modal_names,modal_response_agreement,modal_response
all_trials,imgNew/10T_security.jpg,296,1.0135135135135136,0.14,0.13,0.3141583054626533,0.543918918918919,security,0.5405405405405406,security
all_trials,imgNew/11T_slow.jpg,288,1.125,0.19444444444444445,0.1882716049382716,0.5089821503650193,0.8020833333333334,slow,0.7847222222222222,slow
all_trials,imgNew/12T_think.jpg,292,1.1095890410958904,0.13580246913580246,0.12654320987654322,0.47058823529411764,0.7534246575342466,think,0.3732876712328767,thinking
all_trials,imgNew/13T_leather.jpg,287,1.1010452961672474,0.22468354430379747,0.21518987341772153,0.41864577054450475,0.710801393728223,leather,0.7003484320557491,leather
all_trials,imgNew/14T_cube.jpg,291,1.0378006872852235,0.17218543046357615,0.1490066225165563,0.3258454159424435,0.5738831615120275,cube,0.5498281786941581,cube
all_trials,imgNew/15T_alcohol.jpg,294,1.0170068027210883,0.14381270903010032,0.13712374581939799,0.4741756638459294,0.6972789115646258,alcohol,0.6972789115646258,alcohol
all_trials,imgNew/16T_wax.jpg,297,1.037037037037037,0.17207792207792208,0.1590909090909091,0.505478235119929,0.734006734006734,wax,0.7272727272727273,wax
all_trials,imgNew/17T_small.jpg,293,1.0477815699658704,0.22149837133550487,0.20521172638436483,0.28168444359285516,0.5426621160409556,small,0.5358361774744027,small
all_trials,imgNew/19T_farm.jpg,288,1.0902777777777777,0.16560509554140126,0.15286624203821655,0.5991127571681488,0.84375,farm,0.7777777777777778,farm
all_trials,imgNew/1T_dog.jpg,298,1.0201342281879195,0.10197368421052631,0.09210526315789473,0.6743095362167796,0.8355704697986577,dog,0.7114093959731543,dog
all_trials,imgNew/20T_hand.jpg,292,1.0547945205479452,0.2662337662337662,0.24675324675324675,0.2545792969245738,0.5205479452054794,hand,0.4794520547945205,hand
all_trials,imgNew/21T_myth.jpg,298,1.0302013422818792,0.24104234527687296,0.23127035830618892,0.06295373741244598,0.16778523489932887,mythical,0.16778523489932887,mythical
all_trials,imgNew/22T_race.jpg,298,1.0201342281879195,0.08881578947368421,0.0756578947368421,0.6334245266631926,0.8087248322147651,race,0.7080536912751678,race
